ticker,group,pre_fri_pct,post_fri_pct,delta,n_pre,n_post
IEF,US_Treasury,23.08,25.0,1.92,52,52
TLT,US_Treasury,19.23,25.0,5.77,52,52
AGG,US_BroadAgg,23.08,26.92,3.85,52,52
LQD,US_Credit,21.15,25.0,3.85,52,52
MUB,US_BroadAgg,21.15,34.62,13.46,52,52
EMB,US_Credit,28.85,26.92,-1.92,52,52
HYG,US_Credit,19.23,28.85,9.62,52,52
BND,US_BroadAgg,23.08,26.92,3.85,52,52
VCIT,US_Credit,21.15,26.92,5.77,52,52
VTEB,US_BroadAgg,17.31,32.69,15.38,52,52
GOVT,US_Treasury,25.0,28.85,3.85,52,52
SPIB,US_Credit,25.0,30.77,5.77,52,52
XBB,Canadian,26.92,33.96,7.04,52,53
ZAG,Canadian,32.69,33.96,1.27,52,53
VAB,Canadian,32.69,33.96,1.27,52,53
IUSU,European_UCITS,21.15,30.77,9.62,52,52
IBGS,European_UCITS,34.62,38.46,3.85,52,52
SPY,Equity_Benchmark,21.15,21.15,0.0,52,52
