ticker,n_obs,phi,omega,mu_fri_pre,mu_fri_post,delta_T1_fri,loglik_ou,loglik_rw,loglik_bb,loglik_alt,LR_weekday,p_weekday,LR_t1,p_t1
IEF,5976,0.6353073432930477,0.3513967614508452,0.04532404886946262,0.05363409652103933,0.00831004765157671,-2233.3984318981325,-2835.2280813116904,-1713.9908109746164,-2229.2237822848283,8.34929922660831,0.49936429815594197,1.527144832562044,0.9099162102721988
TLT,5970,0.624742548430534,0.7237676274284198,0.11532725386934928,-0.047668688057821394,-0.16299594192717068,-6544.6709998653705,-7165.414926856509,-5903.709290828097,-6539.956268375818,9.429462979105665,0.398611420015474,1.8000512098005856,0.876061713971271
AGG,5681,0.6180640302411216,0.2557264073266871,0.025038527154869906,0.047452668785249244,0.022414141630379338,-321.3352199880378,-923.8217958362504,286.0133310469113,-314.0551728533462,14.560094269383171,0.1037500052932172,1.6817172795850865,0.891194972651129
LQD,5965,0.6165550682898103,0.37897351777226873,0.0672131971398758,-0.01284526623891266,-0.08005846337878846,-2684.365750443585,-3320.618356615729,-1774.799537891105,-2675.7481288889408,17.235243109288604,0.045157034636872484,1.910840516632561,0.8613393181408436
MUB,4685,0.7152291451014944,0.26303656959966054,0.03139528092688159,0.08784408600319436,0.05644880507631277,-397.9385238451625,-758.5196980688183,45.291755641222835,-391.00728133265864,13.862485025007686,0.12730167494060352,1.925148036280234,0.859402290842013
EMB,4600,0.6683205971690066,0.499424066042779,0.08673755454233036,0.015144209852071664,-0.07159334469025869,-3346.308801000719,-3764.867422500439,-2842.8987262702717,-3332.581190231257,27.45522153892398,0.001175628447635746,2.5779683096643566,0.7647098205348694
HYG,4782,0.6483546465190934,0.5176237586238536,0.04750540891141341,-0.0045457596622925376,-0.052051168573705946,-3643.874977480441,-4106.698319656457,-3257.4449601777633,-3635.628925760922,16.492103439038146,0.05728966031369509,1.7579469533411611,0.881520074661708
BND,4794,0.6231330410925952,0.2578564871714532,0.018008691477178294,0.05366323050207653,0.035654539024898235,-308.9939679075227,-809.71928459287,294.83692543453327,-304.76934684705435,8.449242120936674,0.4895821994103696,1.8134792458173479,0.8743045242006782
VCIT,4130,0.6580559429285305,0.29573050328918055,0.0448960086696873,0.04417387833356995,-0.0007221303361173506,-836.5461939042352,-1224.4537184630822,-219.04802989113898,-828.4075328494931,16.277322109484203,0.06131141532911499,1.1194101785079056,0.9523712410241814
VTEB,2680,0.713526237297255,0.20734846722744563,0.016063934393678866,0.11785093803605419,0.10178700364237532,407.838721536114,200.12415790540055,1030.5781206131696,413.6806791699057,11.683915267583416,0.23172077836581484,4.172446136867052,0.5248646522804876
GOVT,3565,0.6170853560688855,0.24673897827757615,0.04224355539509171,0.0548006509690037,0.012557095573911992,-80.12433968882561,-460.1077237609792,305.9112347909429,-69.55025006180426,21.148179254042702,0.012008488201379452,6.695809001323823,0.24426394212115388
SPIB,4323,0.6694363608132226,0.22725536417048584,0.03646696109823489,0.06493616511228642,0.02846920401405153,266.7057364558792,-124.45686096350934,1043.8382177126116,271.17351736874343,8.935561825728428,0.4432435824282016,1.487451402751276,0.9145133606725234
XBB,6109,0.6349931089907922,0.2839350567892588,0.06524347452334847,0.11358522446128581,0.04834174993793734,-986.8581422926213,-1603.8980507224733,-337.3934378286205,-976.8457320015873,20.02482058206806,0.017759844057896546,6.532235896544307,0.25781589905269575
ZAG,4080,0.6557890437916165,0.2767708047535486,0.10029897191421225,0.08906321354843516,-0.011235758365777088,-561.2707399609216,-947.7733502493359,-232.42866705632616,-548.1032705454155,26.334938831012096,0.0018003731172324677,6.860036633645905,0.23125941095910285
VAB,3578,0.6572599719080454,0.28395461069606914,0.04577379618413473,0.12787525449014822,0.0821014583060135,-581.1027496801524,-918.8528112290014,-285.87562103389007,-572.3117560638618,17.58198723258124,0.04034486206233834,7.887263749798876,0.16255916535242843
IUSU,2274,0.6346130582517205,0.8865632761018477,0.21778433531813177,0.23741365906838865,0.01962932375025689,-2960.688833400265,-3191.0844579428203,-2698.521170707051,-2951.578780786038,18.220105228454486,0.03270411764305936,14.421736789417082,0.013141177900218404
IBGS,4601,0.618605138107182,0.44084258664771053,0.08301877173530244,0.16181450800286862,0.07879573626756618,-2768.939891267362,-3257.112287723873,-2228.788022483361,-2759.4059703720413,19.06784179064107,0.024622190853062054,4.686043092861837,0.45538364482965465
